Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
Martino Rossi America ,U.S.-based company that produces ingredients intended for use in alternative protein products. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,,U.S. and Canada,United States,,,https://www.martinorossiamerica.com/functional-ingredients/,,,
Schenck Process Holding GmbH,"Germany-based company that creates technologies across the bulk material handling spectrum, including for dry powder pneumatic conveying, mixing, depositing, extruding, forming, milling, sifting, weighing and feeding",Plant-based,Food processing infrastructure and equipment,Bioprocess design,,,,"U.S. and Canada,Europe",Germany,,Darmstadt,https://www.schenckprocess.com,1881,,
Third Wave Bioactives,U.S.-based company that produces novel microbial solutions to help preserve and maintain the freshness of food. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,,U.S. and Canada,United States,Wisconsin,Wauwatosa,https://www.thirdwavebio.com/,,,
YEAP,Develops methods of processing single-cell proteins from yeast into meat-inspired foods.,Biomass fermentation,Ingredients and inputs,Ingredient optimization,,,Yeast,Africa/Middle East,Israel,,,https://yeap-proteins.com,2020,"Jonathan Goshen, Didier Toubia, Dominik Grabinskiubia, ",
Lypid ,"U.S.-based company that produces alternative fats made from vegan oils under the brand ""PhytoFat"" for use in vegan meats ",Plant-based,Ingredients and inputs,Ingredient optimization,Oils and fats,,,U.S. and Canada,United States,California,San Francisco ,https://www.lypid.co,2021,,
Melt & Marble,Swedish company that produces animal fats using precision fermentation ,Precision fermentation,Ingredients and inputs,Ingredient optimization,Oils and fats,,Yeast,Europe,Sweden,,Göteborg,https://www.meltandmarble.com,2021,"Anastasia Krivoruchko, Florian David, Jans Nielsen",
"Prolific Machines, Inc. ",U.S.-based company building cell manufacturing platform to enable stem cells to be maintained and differentiated without any recombinant proteins in the feedstock,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,U.S. and Canada,United States,California,San Francisco,https://www.prolific-machines.com/,2020,,
Biostream International,"Netherlands-based company that produces fermenters and bioreactors for use in food, bio-based fermentation, and algae and cell culture fields","Cultivated,Biomass fermentation",Food processing infrastructure and equipment,Bioprocess design,,,,Europe,Netherlands,,Doetinchem,https://www.biostream-international.com,2013,,
"Superbrewed Food, Inc. ",Produces cheese and dairy products using microbes. ,Biomass fermentation,"Dairy,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization","Cheese,Other dairy",,,U.S. and Canada,United States,Delaware,New Castle,https://www.superbrewedfood.com,2012,"Talli Somekh, Bryan Tracy",
"LALLEMAND, Inc. ","Canada-based company that produces inactive yeast, yeast extracts, and autolysates for the global savory and nutritional markets, including a line of meat-type flavors for plant-based pork, bacon, and ham under the brand ""Savor-Lyfe""",Plant-based,Ingredients and inputs,Ingredient optimization,,,Yeast,U.S. and Canada,Canada,,Rexdale,https://bio-lallemand.com,1895,,
Done Properly,"Chile-based company that develops bioprocessed ingredients using biomass fermentation, including a protein source based on mycelium under the brand ""Mico"" and a natural flavoring condiment based on umami molecules under the brand ""Rise""",Biomass fermentation,Ingredients and inputs,Ingredient optimization,,,"Fungi,Mycelium,Mycoprotein",Latin America,Chile,,Macul,https://www.doneproperly.co,2019,,
Corbion,"Netherlands-based company that produces and supplies lactic acid, emulsifiers, functional enzyme blends, minerals, vitamins, and algae ingredients ","Plant-based,Biomass fermentation",Ingredients and inputs,Ingredient optimization,,,Algae,Europe,Netherlands,,,http://www.corbion.com,,,
INFORS HT,"Switzerland-based company that develops, produces, and maintains incubation shakers and bioreactors for both cultivated meat and precision fermentation.","Cultivated,Precision fermentation",Food processing infrastructure and equipment,Bioprocess design,,,,Europe,Spain,,,https://www.infors-ht.com/en/,1965,,
Sea6 Energy,"India-based company that develops technological solutions for sustainable, large-scale and mechanized ocean farming, including fermentation technology for algae and seaweed ",Plant-based,"Ingredients and inputs,Food processing infrastructure and equipment","Bioprocess design,Feedstocks,Ingredient optimization",,,"Algae,Seaweed",Asia Pacific,India ,,Bangalore,www.sea6energy.com,2010,,
Ark Biotech,"U.S.-based company that produces scalable, affordable bioreactors and operating systems for the industrial production of cultivated meat",Cultivated,Food processing infrastructure and equipment,Bioprocess design,,,,U.S. and Canada,United States,New York,New York City ,https://www.ark-biotech.com,2021,Yossi Quint,s0T6HGoGRrGLpDd0PZm12oPJGnn1639145320578_200x200.png (https://dl.airtable.com/.attachments/af9d4e743f1b4c4665487fa03e9aab19/367a3379/s0T6HGoGRrGLpDd0PZm12oPJGnn1639145320578_200x200.png)
Planteam,"Israel-based company that produces a one ingredient plant protein without fillers, binders, mediators, gluten, additives, preservatives, or GMOs suitable for use in many food products, including plant protein jerky and plant-based meats",Plant-based,Ingredients and inputs,Ingredient optimization,,,,Africa/Middle East,Israel,,,https://planteam.tech,2020,,
Only Oats ,Canada-based brand that produces oat ingredients and oat milk ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Oat,U.S. and Canada,Canada,,,https://myonlyoats.com,2008,,
MacSams Enterprises,"Kenya-based company that was established to process, assemble, manufacture, import and installation of various equipment and facilities. The company deals in processing, fabrication and manufacturing of food and agri-food equipment and facilities. We deal in local assembling, import, sale and installation of various equipment and facilities for agri-food sector. 

The company is an autonomous branch of Sydsel Africa with its own management that deals exclusively on equipment and facilities for alternative proteins. Due to the gaps and pain points in acquiring appropriate equipment,, the company  is working on repurposing and retrofitting facilities for use in alternative protein manufacturing.
",Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,Africa/Middle East,,,Nairobi,www.sydselafrica.com,2017,"Joel Oduor, Dr. Violet Okech, Samuel Helu",Logo rev.doc (https://dl.airtable.com/.attachments/03dd314c1c32203dfe11c38e6096b6f8/c514635e/Logorev.doc)
Vhismark Enterprises,"Vhismark is an autonomous branch of Sydsel Africa that deals exclusively with Milk, ice cream, cake and related products from non-animal sources such as soybeans and other plant-based crops.
",Plant-based,"Dairy,Ingredients and inputs,Contract manufacturing/processing","End product formulation and manufacturing,Ingredient optimization,Crop development","Milk,Cheese,Other dairy",Other,"Pea,Soy,Chickpea,Cashew,Coconut,Peanut,Potato",Africa/Middle East,,,"Kisumu, Kenya",www.sydselafrica.com,2017,"Dr. Violet Okech, Naftali Helu, Ezekiel Obat",Logo re.doc (https://dl.airtable.com/.attachments/edf9edaca12e4616324a7f28aa426f4e/b5dead57/Logore.doc)
Yali Bio,Building a synthetic biology platform to tailor-make climate-smart foods from renewable resources,Precision fermentation,"Ingredients and inputs,Meat,Dairy",Ingredient optimization,Oils and fats,,,U.S. and Canada,United States,California,South San Francisco ,https://www.yalibio.com/,2021,Yulin Lu,
Kingdom Supercultures ,Specializes in developing ingredients using natural microbial cultures that mimic and replace chemical ones.,Traditional fermentation,Ingredients and inputs,Ingredient optimization,,,,U.S. and Canada,United States,New York,Brooklyn,https://www.kingdomsupercultures.com/,2019,Kendall Dabaghi,
Meet Future,Meet Future is an alt-protein startup from Estonia that is developing mycoprotein-based meat alternatives. ,Biomass fermentation,"Seafood,Meat,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization",,"Chicken,Fish",Mycoprotein,Europe,Estonia,,,https://provegincubator.com/estonia-enters-mycoprotein-alt-meat-race/,2021,"Triin Remmelgas, Kristen Loomägi, and Andrean Razumovski",
Benson Hill,Benson Hill uses data science to produce better types of crops that are optimized for specific uses. ,Plant-based,Ingredients and inputs,,,,"Pea,Soy",,United States,Missouri,St Louis,https://bensonhill.com/,2012,,
The Mighty Kitchen,"The Mighty Kitchen is a food technology company using real time customer insight to make delicious, fibrous, plant-based poultry products and ingredients. ",Plant-based,"Meat,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization","Whole muscle meat,Ground meat,Oils and fats","Chicken,Duck,Turkey","Pea,Wheat","Europe,Africa/Middle East",Cyprus,,Larnaca,https://themightykitchen.com/,2019,George Vou & Louiza Sophocleous,TMK-Centered-Logo-MINT-BLACK.pdf (https://dl.airtable.com/.attachments/3e59ad7730db3e2b8a5b2998861e2654/199761d0/TMK-Centered-Logo-MINT-BLACK.pdf)
Winahshon Enterprises,"Winahshon Enterprises is a Kenyan Start-up that was established on 19th September 2019. The company deals in organic feeds for fish, pigs, poultry and pets and has expanded its focus to new alternative pet foods and related products from plant-based ingredients. They are piloting plant-based meat, chicken and fish as well as milk and related products from plant-based ingredients from almonds, soybeans, coconut and rice. 
",Plant-based,"Other,Contract manufacturing/processing","Ingredient optimization,Feedstocks,Crop development",Pet food,,,Africa/Middle East,,,Nairobi,www.sydselafrica.com,2019,"Dr. Violet Okech, Ezekiel Obat, Moses Onyango",Logo rev.doc (https://dl.airtable.com/.attachments/9f02cdaea8201417fc7b757c981e5fa7/2779b1c4/Logorev.doc)
MUSH,"MUSH grow edible mushrooms mycelium to create innovative raw ingredients with high nutritional values, for the food industry",Biomass fermentation,Ingredients and inputs,,,,Mycelium,Africa/Middle East,Israel,,Tel Aviv ,https://www.linkedin.com/company/mushfoods/about/,2021,Shalom Daniel,
Alfred's Food Tech,Israel-based company that produces technology for whole-cut food texturization,Plant-based,Bioprocessing infrastructure and equipment,Bioprocess design,,,,Africa/Middle East,Israel,,Modiin,https://www.alfreds.tech,2021,Ronny Reinberg,Alfred'sFoodTech.png (https://dl.airtable.com/.attachments/421aeb16b0e643cb5cab98239e987396/60b22e45/AlfredsFoodTech.png)
Pluristem Therapeutics Inc.,"Israel-based company that develops human placental adherent stromal cells for commercial use in disease treatment, currently collaborating with the company Tnuva to provide cell-cultivation technology for meat under the platform NewCo",Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,Africa/Middle East,Israel,,Haifa,https://www.pluristem.com,2001,Shai Meretzki,cd5d5b83b79ef4d11d59654ae18f2317.jpg (https://dl.airtable.com/.attachments/1a8d0bacc1e338cfa050110bb885bc55/c0b0ab97/cd5d5b83b79ef4d11d59654ae18f2317.jpg)
Genesea ,Israel-based Tel Aviv University spin-off company producing protein isolates and other ingredients for plant-based foods from offshore marine macro-algae,Plant-based,Ingredients and inputs,Ingredient optimization,,,Seaweed,Africa/Middle East,Israel,,Tel Aviv,https://www.genesea.net,2021,"Ivri Gorenm, Prof. Alexander Golberg, Alexander Chemodanov",Genesea.jpg (https://dl.airtable.com/.attachments/63d428e02defd4cec5032f528e71e659/cd09cc47/Genesea.jpg)
SimpliiGood,"Israel-based company that produces fresh spirulina and offers various plant-based food products, such as burgers and schnitzels, under the brand ""Spirulina Deli""",Plant-based,"Ingredients and inputs,Meat","End product formulation and manufacturing,Ingredient optimization",Ground meat,,Algae,Africa/Middle East,Israel,,Herzliya,https://simpliigood.com/,2015,"Baruch Dach, Lior Shalev",simlii-black.png (https://dl.airtable.com/.attachments/d68e3a74942c95b7e63bb71731929515/dd5b44d8/simlii-black.png)
Oterra,World's leading natural color supplier with expertise in plant-based formulations.,Plant-based,"Ingredients and inputs,Other",Ingredient optimization,,,"Other,Beetroot ",Global,Denmark,,,www.oterra.com,1854,Christian Hansen,Oterra_TM_logo_CMYK.pdf (https://dl.airtable.com/.attachments/34d62f9edd9f084a543f27c372cc9fbc/4fee0e22/Oterra_TM_logo_CMYK.pdf)
Eternal,Company commercializing a mycoprotein ingredient made from the fungus Fusarium venenatum. Formerly known as Kernel MycoFoods,Biomass fermentation,Ingredients and inputs,,Ingredients,,,"U.S. and Canada,Europe,Latin America",Argentina,,Buenos Aires,https://www.eternal.bio/,2018,"Horacio Acerbo, Lucas Gago, Miguel Neumann",Eternal logo.svg (https://dl.airtable.com/.attachments/05330006fb901e24e7a9b47ef5c2c8cb/9e573039/Eternallogo.svg)
Luna,Contract development and manufacturing company specialising in innovative 3D materials and scaffolds with capabilities in R&D through to GLP and GMP development and manufacturing formulations,Cultivated,"Meat,Seafood,Ingredients and inputs,Contract manufacturing/processing","Scaffolding and structure,Bioprocess design,Ingredient optimization,End product formulation and manufacturing","Ground meat,Ingredients,Other meat",,,Global,United Kingdom,,London,https://www.luna-tx.com/,2020,Richard Day,Lunatherapeutics_Company_notext_LinkedIn.png (https://dl.airtable.com/.attachments/eff6cb0fcd904ad65690bf646eab2ccd/5673d0c5/Lunatherapeutics_Company_notext_LinkedIn.png)
Hyfé Foods,U.S.-based company producing low carb flour-based products using fungi to upcycle wastewater,Traditional fermentation,Ingredients and inputs,End product formulation and manufacturing,,,Yeast,U.S. and Canada,United States,Illinois,Chicago,https://www.hyfefoods.com,2021,Michelle Ruiz,hyfefoods.png (https://dl.airtable.com/.attachments/a496b0cdeba55e59169b8ecb0624c3be/69270be3/hyfefoods.png)
Geb Impact Technology Company Limited,Hong Kong-based biotechnology company that cultivates selected micro algae,"Plant-based,Biomass fermentation",Ingredients and inputs,Ingredient optimization,,,Algae,Asia Pacific,Hong Kong,,,https://www.gebimpact.com/,2013,James Chang,geblogo.png (https://dl.airtable.com/.attachments/73e327538da9fb48feb68bd6f8337e64/7155813e/geblogo.png)
Provectus Algae,Australia-based biotech startup specializing in the optimization of algae to produce high-value compounds for use in a wide array of industries and applications,Plant-based,Ingredients and inputs,Ingredient optimization,,,Algae,Australia,Australia,,Noosaville,https://provectusalgae.com,2018,Nusqe Spanton,provectusalgae.jpg (https://dl.airtable.com/.attachments/ceb8924900349fb76e13fe66d96cb334/490c7957/provectusalgae.jpg)
Solar Biotech,"Use mini-plant architecture to reduce the time-to-market for synthetic biology products, from years to months, at a reduced cost. Work with biodesigned cosmetics, functional food ingredients, bioelectronic components, and other industries.",Precision fermentation,Bioprocessing infrastructure and equipment,Bioprocess design,,,,,United States,VA,Norton,https://www.solarbiotech.com/,2019,,
Qualitas Health,"U.S.-based company developing a proprietary platform to launch fully-sustainable, vegan, algae-based nutritional products at scale",Plant-based,Ingredients and inputs,Ingredient optimization,,,Algae,U.S. and Canada,United States,Texas,Houston,https://www.qualitas-health.com,2012,Isaac Berzin,qualitas.jpg (https://dl.airtable.com/.attachments/8248e60c603f9543592ca1e4307838f8/3d5a1c98/qualitas.jpg)
Energaia,"Thailand-based company, producing high quality spirulina and spriulina products from patented bioreactors systems.","Plant-based,Cultivated","Ingredients and inputs,Contract manufacturing/processing","Bioprocess design,Crop development,Ingredient optimization,End product formulation and manufacturing",,,Algae,"Asia Pacific,Global",Thailand,,Bangkok,https://energaia.com/,2009,Saumil Shah,energaia logo.JPG (https://dl.airtable.com/.attachments/3dcd76f1ecd6336ef2d3e2144da20451/870f94ea/energaialogo.JPG)
Edge Foods,U.S.-based company that produces cultivated meat products using innovative biotechnologies. ,Cultivated,"Meat,Bioprocessing infrastructure and equipment","Bioprocess design,End product formulation and manufacturing","Ground meat,Other meat,Whole muscle meat","Beef/veal,Pork,Chicken",,U.S. and Canada,United States,New York,New York,www.edgefoods.co,2022,Manuel Tamargo and Bianca Drevensek,EA05C449-02F5-4980-A02A-0573CC5CAD15.png (https://dl.airtable.com/.attachments/66b32e595128715a16c555f702767a16/f07917ca/EA05C449-02F5-4980-A02A-0573CC5CAD15.png)
Arkeon Biotechnologies,Austria-based company using gas fermentation to produce protein. ,Biomass fermentation,"Ingredients and inputs,Meat",,,,,Europe,Austria,,Vienna,https://arkeon.bio/,2021,"Gregor Tegl, Günther Bochmann, Simon Rittmann ",
MushLove,U.S. company that produces mushroom ingredients using fermentation-based biosynthesis for food and cosmetic products ,Biomass fermentation,Ingredients and inputs,Ingredient optimization,,,Mushrooms,U.S. and Canada,United States,Oklahoma ,Tulsa,https://mushlove.co,2020,Arsha Shirazi,logo-white.png (https://dl.airtable.com/.attachments/9011e4640c1150c70e39cefd3df272b2/7a32d722/logo-white.png)
Time-Travelling Milkman,Dutch company that produces plant-based fat ingredients using European seeds for sustainable and appetizing dairy alternatives ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Seeds,Europe,Netherlands,,Wageningen,https://www.timetravellingmilkman.com,2020,Dimitris Karefyllakis,1615809650349.jpg (https://dl.airtable.com/.attachments/e480fd91b01c7523fdcf249041c1f7f2/c0eb1e62/1615809650349.jpg)
Chr. Hansen,"A global bioscience company based in Denmark that develops microbial solutions for the food, beverage, nutritional, pharmaceutical and agricultural industries. The company is a supplier of food cultures, probiotics, enzymes and natural colors.","Precision fermentation,Fermentation-derived",Ingredients and inputs,,,,,Europe,Denmark,,Horsholm,https://www.chr-hansen.com/en/,1874,,
Modena Funghi ,"Italian-based, FDA registered company that produces and commercializes a variety of plant-based burgers ",Plant-based,"Meat,Ingredients and inputs","Crop development,End product formulation and manufacturing","Ground meat,Ingredients",,"Mushrooms,Pea,Lentils,White bean,Beans,Pumpkin,Blend",Global,Italy,,"Cavezzo, Modena",https://www.modenafunghi.it/en_GB/,2015,Dr. Giulia Rinaldi. Dr. Marco Righini  ,Modena Funghi Logo.jpg (https://dl.airtable.com/.attachments/812dd94facfdaa1728b50b3cebe2215d/5145719f/ModenaFunghiLogo.jpg)
Bio-Lead LTD,Israel-based supplier of large scale volume basal media and growth factors for cultivate-meat production and development,Cultivated,Ingredients and inputs,"Cell culture media,Cell line development",,,,Global,Israel,,Ramat Hasharon,https://www.bio-lead.com/,2009,Offir Manor,BioLead-Logo-Gradient-S.jpg (https://dl.airtable.com/.attachments/9199d2ada3c4a06439a5dd344e3d4b1a/65e0383a/BioLead-Logo-Gradient-S.jpg)
milkien,Producer of plant based milk products ,Plant-based,"Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Contract manufacturing/processing","End product formulation and manufacturing,Ingredient optimization","Milk,Ingredients",,"Pea,Almond,Oat,Coconut",Europe,Turkey,,İstanbul,milkien.com,2018,Turker Yasin,yeni logo_kare_beyaz.png (https://dl.airtable.com/.attachments/b448e45b1321f836f605bf43ce3599fa/f073ed48/yenilogo_kare_beyaz.png)
MicroHarvest,Germany-based startup that produces bacterial single cell protein applicable throughout the whole value chain.,Biomass fermentation,Ingredients and inputs,"Bioprocess design,Feedstocks,End product formulation and manufacturing,Host strain development",,,Other,Global,Germany,,Hamburg,https://microharvest.com,2021,"Katelijne Bekers, Luisa Cruz, Jonathan Roberz",Logo black.png (https://dl.airtable.com/.attachments/c006adab8bf5551704ef28edc501d3a6/ed1d8928/Logoblack.png)
Camega3,Company producing Camelina oilseeds and extract and omega-3 oil and protein.,Plant-based,"Other,Bioprocessing infrastructure and equipment,Ingredients and inputs,Contract manufacturing/processing","Bioprocess design,End product formulation and manufacturing,Crop development",,,Other,"Asia Pacific,Europe",Singapore,,Singapore,https://www.camega3.com,2018,"Martin J Kleinelanghorst, William L Nolten, Garry A Prior, Loi Kok Cheng",Camega3 Oil logo.jpg (https://dl.airtable.com/.attachments/95ae684c935c68f34a98ad72451256b6/c1c9f204/Camega3Oillogo.jpg)
Mitsubishi International Food Ingredients,Distribution company that provides various food ingredients for plant based and cell based products.,"Plant-based,Cultivated,Precision fermentation",Ingredients and inputs,Ingredient optimization,,,"Pea,Yeast,Tapioca",U.S. and Canada,United States,Ohio,Dublin,mifiusa.com,2004,Mitsubishi Corporation,
Dedert Corp.,"For over 50 years, Dedert has partnered with the top ingredients manufacturers to develop innovative solutions and to customize integrated process technologies with spray drying, flash and ring drying, fluid bed technology, falling-film evaporation, and much more.","Plant-based,Traditional fermentation,Fermentation-derived,Biomass fermentation,Precision fermentation","Ingredients and inputs,Food processing infrastructure and equipment,Contract manufacturing/processing",Ingredient optimization,,,,"U.S. and Canada,Europe,Asia Pacific,Global",United States,Illinois,Homewood,www.dedert.com,1968,Bill Dedert,Dedert_Logo_EvapDryTech PNG file.png (https://dl.airtable.com/.attachments/d6906cbda31f952838be68a256378aad/24319e15/Dedert_Logo_EvapDryTechPNGfile.png)
Quest Meat,"UK-based company focused on production and scale up of beef, as well as the development of adjunctive technologies to enhance process efficiency.",Cultivated,"Meat,Ingredients and inputs,Bioprocessing infrastructure and equipment","Bioprocess design,Cell culture media,End product formulation and manufacturing,Cell line development",Ground meat,Beef/veal,,Europe,United Kingdom,,Birmingham,www.questmeat.com,2021,"Ivan Wall, Petra Hanga, Michael Hunt, John Sinden, Russell Kerr",Screenshot 2022-04-04 at 23.44.05.png (https://dl.airtable.com/.attachments/b3ac8c85fbb7eb7c606d8d0c71ee448b/de588ff6/Screenshot2022-04-04at23.44.05.png)
PerMix Tec. Co. Ltd.,Israel based company that offers Machinery to produce plant based meat and plant based products,Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,Global,Israel,,ADI,https://www.permixmixers.in/,1954,Srugo Family,logo.jpg (https://dl.airtable.com/.attachments/8a50e6ebfd2e8efed38867fd8fbab108/b1b3b5af/logo.jpg)
KeyLeaf,KeyLeaf is a pioneer and leader in the burgeoning plant-based ingredient space.,Plant-based,"Contract manufacturing/processing,Ingredients and inputs,Food processing infrastructure and equipment,Bioprocessing infrastructure and equipment","Bioprocess design,Ingredient optimization",,,,U.S. and Canada,Canada,,Saskatoon,www.keyleaf.ca,1973,,keyleaf_logo (3).pdf (https://dl.airtable.com/.attachments/744a248d35b3748866d2815009124820/30abb101/keyleaf_logo3.pdf)
Waters Corporation,"Waters provides analytical lab equipment, supplies and software for scientists and companies who are developing and manufacturing alternative protein ingredients and products.   ","Plant-based,Cultivated,Biomass fermentation,Precision fermentation,Fermentation-derived,Traditional fermentation","Bioprocessing infrastructure and equipment,Food processing infrastructure and equipment","Bioprocess design,Cell culture media,Ingredient optimization,End product formulation and manufacturing,Target molecule selection,Scaffolding and structure,Feedstocks",Other,Other,,"U.S. and Canada,Latin America,Europe,Africa/Middle East,Asia Pacific,Global,Australia",United States,Massachusetts,Milford,www.waters.com,1958,Jim Waters,
ProXES,"Germany based equipment manufacturer (union of three brands - FrymaKoruma, Stephan and Terlet) that manufactures machines, plants as well as process lines and solutions in the food, pharmaceutical, cosmetics and chemical industries.",Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,"Europe,U.S. and Canada,Asia Pacific",Germany,,Hamburg,https://www.proxes.com/en/applications/food/vegan,2014,,logo.png (https://dl.airtable.com/.attachments/d666661bf4725f022c9bdbd855f7fae5/25217c75/logo.png)
Cultimate Foods ,Germany-based company that produces cultivated fats that are designed for products that are hybrids of plant based and cultivated meats,Cultivated,Ingredients and inputs,End product formulation and manufacturing,Oils and fats,,,"Europe,Global",Germany,,Berlin,https://www.cultimatefoods.com/,2021,"Eugenia Sague, George Zheleznyi, Oskar Latyshev ",1644226668509.jpeg (https://dl.airtable.com/.attachments/8ed98a4cf44132a372451ca72ac0ebef/2a0ace74/1644226668509.jpeg)
Exocule,Intelligent data infrastructure for the precision fermentation industry ,Precision fermentation,Bioprocessing infrastructure and equipment,End product formulation and manufacturing,,,,Global,New Zealand,,,exocule.com,2017,"Jacob Manning, Abbe Hyde",exocule logo.png (https://dl.airtable.com/.attachments/6e2fc51c9b057a38298e5d2d0e2c0de3/c6b92e85/exoculelogo.png)
Stämm Biotech,Buenos Aires based company developing a new type of bioreactor that 3D prints a dense network of microchannels that pass cells through the nutrients and oxygen they need. ,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,Global,United States,California,San Francisco,https://www.stamm.bio/,2016,Yuyo Llamazares Vegh and Federico D’Alvia Vegh,
ODS Protein,Spanish company that produces a mycoprotein of high nutritional value and in a sustainable way from the fermentation of a fungus.,Biomass fermentation,Ingredients and inputs,Ingredient optimization,,,Fungi,Europe,Spain,,Galicia,https://odsprotein.com/#home,2021,Iria Varela,ods-logo-h-neg.png (https://dl.airtable.com/.attachments/5e945c3aa32665e54673c813eaba05b8/1b13c420/ods-logo-h-neg.png)
Origin,Spanish company producing microalgae products,Plant-based,Ingredients and inputs,,,,Algae,Europe,Spain,,Andalusia,https://originalgae.es/,2021,Manuel Diez de Onate,Recurso-1.svg (https://dl.airtable.com/.attachments/507a1a90b3c2f7434ff67ecd5328d892/f3e6d4b1/Recurso-1.svg)
Panlabs Biologics,"Taiwan-based contract research organization that specializes in microbial strain development, holding a microbial library collection of over 20,000 strains",Biomass fermentation,Contract manufacturing/processing,"Feedstocks,Cell line development",,,,"Asia Pacific,Global",Taiwan,,New Taipei City,http://www.panlabsbiologics.com,1971,"Hsi-Lin Chen, Dr. Merle Pindell, and Dr. Joseph Lein",panlabs.jpeg (https://dl.airtable.com/.attachments/80fa3ef099f6917de55b2fc53b958b94/1521211f/panlabs.jpeg)
Evoluter,U.K.-based company utilizing propriety bioreactor platform and biological toolset to develop microbial production hosts ,Precision fermentation,"Bioprocessing infrastructure and equipment,Contract manufacturing/processing","Host strain development,Bioprocess design",,,,Europe,United Kingdom,,Sheffield ,https://evolutor.bio,2021,Joe Price,Evolutor_FC.png (https://dl.airtable.com/.attachments/a1a66bcc8a512d48e902beb193d6ce8e/28da8b85/Evolutor_FC.png)
iLabs,U.S.-based company building rapid testing platform for alternative protein ,"Cultivated,Traditional fermentation,Biomass fermentation,Precision fermentation","Bioprocessing infrastructure and equipment,Other",Bioprocess design,,,,U.S. and Canada,United States,California,Santa Clara,https://twitter.com/InSightLabz,2021,Sesana Ajina,
Algisys,U.S.-based company producing producing algal oils and high protein additives using exclusive technology for cost-effective harvesting ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Algae,U.S. and Canada,United States,Ohio,Cleveland,https://www.algisys.com,2009,Dr. Charles Roe,algisys.png (https://dl.airtable.com/.attachments/e25c15bd559116910e3c6dbc6cb4e99f/8578aef9/algisys.png)
Sun Coast Naturals ,"U.S.-based company that produces spirulina-based ingredients, including SpiPro for taste, color, and odor and PhyPro for color",Plant-based,Ingredients and inputs,Ingredient optimization,,,,,United States,Florida,Ft. Myers,https://suncoastnaturals.com,2019,Jeff Banas,suncoast.jpeg (https://dl.airtable.com/.attachments/56240a9c98d3b3d9429b2c19ed20dcab/9e6afd2e/suncoast.jpeg)
Jupiter Research,U.S.-based company that develops vaporization technology hardware for plant-based oil extractors ,Plant-based,Bioprocessing infrastructure and equipment,Bioprocess design,,,,U.S. and Canada,United States,Arizona,Phoenix,http://www.jupiterresearch.com,2015,"Mark Scatterday, Bob Crompton",jupiter.jpeg (https://dl.airtable.com/.attachments/190ba679abf07fbab33ffd97ee85f656/c9c19ad2/jupiter.jpeg)
EverGrain,U.S.-based company that produces plant-based ingredients from spent brewing grains ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Grains,U.S. and Canada,United States,Missouri,St. Louis,https://evergrainingredients.com/,2020,Greg Balt,evergrain.png (https://dl.airtable.com/.attachments/ce121b61dc6d7349beb41da7ed52bd68/f1b609a5/evergrain.png)
Fermify,Austria-based deep-tech company developing alt dairy platform for casein proteins,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,Europe,Austria,,Vienna,https://www.fermify.org,2021,Eva Sommer,fermify.jpeg (https://dl.airtable.com/.attachments/9ad5284d68a912dff8ad5bfde9f7b9ec/7b15626f/fermify.jpeg)
MOA Foodtech,Spain-based company that produces plant proteins from upcycled food waste and by-products from food production ,Plant-based,Ingredients and inputs,Ingredient optimization,,,,"Europe,Global",Spain,,Pamplona,https://www.moafoodtech.com,2020,"Susana Sánchez Gómez, Bosco Emparanza García",Logo MOA.png (https://dl.airtable.com/.attachments/0633de1baa9b026cc4edc51774a57809/d1312b64/LogoMOA.png)
Gaia's Farming Co.,London based company processing hemp for the food & beverage sector. Consumer Facing. Focus on dairy-alternatives.,Plant-based,"Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Food processing infrastructure and equipment","Ingredient optimization,Bioprocess design","Oils and fats,Milk",,"Hemp,Oat,Coconut",Europe,United Kingdom,,London,www.gaiasfarming.co,2020,Michael Kyriakou,Gaia's Farming Co._image square 1000x1000px.jpg (https://dl.airtable.com/.attachments/1f6d985a2e572316f5bd4da556ab38fb/ae99bd8f/GaiasFarmingCo._imagesquare1000x1000px.jpg)
